SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,city,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,Average Tax Revenue,median_household_income_usd,total_population
BARSTOW,193153.7232,-61.421850000000006,889673.238,-307.1092500000001,172943.96164696192,12,1,11.943600025162125,100.0,BARSTOW,0.666666666666667,46.052961769380296,84.1278849791903,67996702.0,22665567.33333333,41909.5,31403.0
BAY POINT,49620.718547,-622.20315,574754.9838999999,-7096.6802000000025,45875.809756057235,65,1,0.0,100.0,,,,,,,,
BAYSIDE,6071.04315,-122.33528600000004,78559.3503,-1647.1424600000007,7783.88751997407,41,1,0.0,100.0,BAYSIDE,0.0,12.0138150115219,17.593643586833103,,,61554.0,5229.0
BELMONT,151204.07599999994,0.0,1625603.909,0.0,116113.2491496426,10,2,0.0,100.0,BELMONT,0.0,8.60471433916458,10.0012611930887,83965540.0,27988513.33333333,143295.0,27359.0
BELVEDERE,7369.280000000002,-44.849,51787.84,-333.2452,5473.690049386841,7,1,0.0,100.0,,,,,,,,
BEN LOMOND,17841.033,-166.905,124730.48601,-851.2806599999999,8335.549908928033,3,1,0.0,100.0,BEN LOMOND,0.0,7.476653321475821,7.71219573716737,,,93123.0,8366.0
BENICIA,429169.77662000014,-2066.559693155,4106471.2344716005,-18644.26750165,241293.6880835383,117,3,40.43137769282824,100.0,BENICIA,0.0,14.4078617151123,23.5086391726573,116821349.0,38940449.66666666,104875.0,28681.0
BENTON,3726.9,-12.231,43936.83,-146.77200000000005,6794.866514691903,3,1,100.0,100.0,,,,,,,,
BERKELEY,836491.7124962995,-5193.810612137001,8176895.297505199,-58562.811005535994,557889.922936303,387,3,2.462323582619803,100.0,BERKELEY,0.027027027027027,13.755099758122098,21.837558330180396,579751618.0,193250539.3333333,93105.0,132996.0
BETHEL ISLAND,6215.408316,-75.43593,64640.2464864,-784.533672,5797.642936258271,2,1,0.0,100.0,,,,,,,,
BEVERLY HILLS,415702.04735999997,-0.7483069440000001,4735782.5567999985,-3.74153472,408832.0557123836,35,1,0.0,100.0,BEVERLY HILLS,0.0,15.7137565328316,27.0525917517972,624117511.0,208039170.3333333,129977.0,40656.0
BISHOP,4205.905568,-30.413515984,58325.54956800001,-421.76068987199994,59918.969655676025,6,1,68.74180269903589,100.0,BISHOP,0.0,11.680303891974,16.67297263211,19159702.0,6386567.333333332,66582.0,16336.0
BLUE LAKE,26643.8683,-86.91884847,286190.87613999995,-627.3821124,13781.319390154538,118,2,0.0,100.0,BLUE LAKE,0.0,13.785485884885,21.9069239500568,1492422.0,497474.0,55000.0,3346.0
BLYTHE,370829.52,0.0,5387171.49,0.0,91649.45262033332,13,1,86.41792655524988,100.0,BLYTHE,0.166666666666667,32.6340786777761,64.226258040106,18987392.0,6329130.666666668,45481.5,14924.0
BODEGA BAY,10132.733844,-79.20504,121592.80613,-950.4604800000001,5087.608584548454,3,1,0.0,100.0,,,,,,,,
BOONVILLE,35829.170794,-492.05043,469451.07913359994,-6443.110872,21367.7704630503,3,1,0.0,100.0,,,,,,,,
BOULDER CREEK,110122.700376,-725.8075600000003,873304.8980146999,-6480.776145199999,61971.34270607803,29,1,50.57901988149254,100.0,BOULDER CREEK,0.0,8.4018745080666,9.46525413040736,,,114562.0,10622.0
BRADLEY,1465.0,0.0,17580.0,0.0,72.48918860066381,5,1,0.0,100.0,BRADLEY,0.0,22.002929316529396,42.9814604615967,,,55764.0,4462.0
BREA,56907.36,0.0,187794.288,0.0,27135.703524635097,1,1,0.0,100.0,BREA,0.0,23.8095858896062,47.130785723294295,138957376.0,46319125.33333334,92739.0,46522.0
BRENTWOOD,213533.70700000128,-158.95487156000004,2044249.3418979875,-3062.0273822000013,171549.1583232353,955,2,53.00995739849722,100.0,BRENTWOOD,0.0,23.644392841458696,46.6956741077059,130696354.0,43565451.333333336,122573.5,78554.0
BRIDGEPORT,51932.95000000001,-320.4469,612469.906,-3822.4133,111743.87375343779,29,1,100.0,100.0,BRIDGEPORT,0.0,13.7990245749186,21.957371673603202,,,61827.0,2444.0
BRIDGEVILLE,7859.1214,28.4714,85884.23856000003,283.97328,7382.012315859683,4,1,0.0,100.0,BRIDGEVILLE,0.0,12.522487628619098,19.0314037079077,,,54286.0,4179.0
BRISBANE,309040.373,-785.4254000000002,2611663.19781,-6367.17147,127604.29497247464,58,1,30.84034940841313,100.0,BRISBANE,0.0,36.7666527696717,71.38352881826209,48761941.0,16253980.333333336,113484.0,5051.0
BROOKDALE,41170.0,0.0,205850.0,0.0,21714.0032833565,1,1,0.0,100.0,,,,,,,,
BROWNS VALLEY,370.0,0.0,4440.0,0.0,25.6798633325908,2,1,0.0,100.0,,,,,,,,
BUELLTON,136577.42273000002,-252.91886063,1450306.5181038,-2577.8225109400005,36601.08766141772,274,3,19.13001678152003,100.0,,,,,,,,
BUENA PARK,208320.370016,1260.810956399,2631190.7088,20191.30179935,125532.6164026616,34,1,49.393619449775954,100.0,BUENA PARK,0.307692307692308,26.667915347709698,53.3106318577374,168369439.0,56123146.33333334,89351.0,80669.0
BURLINGAME,1331067.259,-4042.5826175320003,11938748.37299,-39096.95757766,537631.7989973895,920,3,33.9720378518941,100.0,BURLINGAME,0.0,8.76631742804852,10.3670071888006,204650697.0,68216899.0,129585.0,42760.0
BURNEY,8857.665,-14.597999666,98025.87599999999,-72.98999832300001,10321.75528831893,5,1,100.0,100.0,BURNEY,0.0,25.722482910550898,51.1792155378988,,,47408.0,4881.0
BUTTONWILLOW,164338.92449000006,-703.07328,1892584.9869216003,-7872.726093200001,78305.35565433776,19,1,0.0,100.0,BUTTONWILLOW,1.0,45.852311580753096,84.0963551519738,,,45781.0,3415.0
CALISTOGA,212789.11454102004,-701.44185876,2431401.3556199004,-8366.324570259998,88825.42096924082,271,2,0.0,100.0,CALISTOGA,0.0,10.9897781729756,15.3865556816749,36440152.0,12146717.333333336,85226.0,6684.0
CAMARILLO,26280.541157630007,-16.471986111,140118.1598314,-86.308003288,49969.767575035214,9,1,0.0,100.0,CAMARILLO,0.0,14.929971655055098,24.9463992937319,118667215.0,39555738.333333336,105452.0,79627.0
CAMBRIA,50718.60659000001,-396.96617000000003,626969.6569373001,-4970.221779900002,19600.02680502434,80,2,0.0,100.0,CAMBRIA,0.0,3.42598351416407,1.32425274309497,,,74036.0,8388.0
CAMERON PARK,50365.506219999996,-305.6830700000001,587798.3828639999,-3573.221496,38962.8684860421,13,1,0.0,100.0,,,,,,,,
CAMINO,4154.83416,-36.13185,49858.00992,-433.5822,3354.113980844292,2,1,0.0,100.0,CAMINO,0.0,10.9108246712798,14.982973893303098,,,90795.0,3495.0
CAMP MEEKER,409.744,-9.6526,3628.76,-85.82799999999999,462.6536733978288,3,1,0.0,100.0,,,,,,,,
CAMPBELL,473185.0184,-1565.7446906899993,4870550.993749999,-14969.1673635,338893.25570145197,565,2,6.191652892387836,100.0,CAMPBELL,0.0,13.654276887697,21.635767435994502,120771924.0,40257308.0,130811.5,44176.0
CANYON COUNTRY,31891.44,0.0,382697.28,0.0,23534.47675638563,3,2,0.0,100.0,CANYON COUNTRY,0.0,23.849400713850898,47.28212889393371,,,85637.0,73789.0
CANYON LAKE,9708.6143232,-8.531205835,61673.5525824,-54.634713566,14467.730932512794,8,1,0.0,100.0,,,,,,,,
CAPITOLA,351178.62996000005,-1655.8058099999996,2633696.493171,-11135.280680700002,154072.8939078952,26,1,28.994666040868395,100.0,CAPITOLA,0.0,11.7538378250281,16.937823180729,41633696.0,13877898.666666664,76519.0,11739.0
CARLOTTA,16778.387,850.2356000000002,184030.4368,18583.26,34203.47338296772,6,1,0.0,100.0,,,,,,,,
CARMEL,157141.538,-1449.5060000000005,1619132.1759,-14712.376500000002,90717.01788277355,38,1,32.55874153605679,100.0,CARMEL,0.0,1.93228901434379,0.340522133938706,,,99337.0,21923.0
CARMEL VALLEY,30851.149000000005,-188.4,356436.24139,-2182.96947,19611.902000471644,7,1,0.0,100.0,CARMEL VALLEY,0.0,14.361367760209598,24.990541051835,,,73199.0,11768.0
CARPINTERIA,4805.7264,-2.867965041,28580.596704,-14.906479262000001,10809.526021990996,4,1,0.0,100.0,CARPINTERIA,0.0,21.0853788096845,41.026611174170796,30597609.0,10199203.0,72540.0,13619.0
CARSON,931403.6922879999,6040.052618724,9843807.82844,18058.363093622,472207.0479576218,109,2,35.83050645037119,100.0,CARSON,0.7777777777777779,46.6039863434772,84.84676503972759,208784719.0,69594906.33333333,79687.5,83730.0
CARUTHERS,23185.278,-114.822,292627.7712,-1194.1488,10472.480396433772,2,1,0.0,100.0,CARUTHERS,1.0,47.897113250555805,86.6187413292975,,,45587.0,5068.0
CASTAIC,90940.26,0.0,1091283.12,0.0,52234.364001257214,20,1,0.0,100.0,CASTAIC,0.0,14.498582575928099,23.7545718249464,,,120072.5,30663.0
CASTRO VALLEY,324351.01943822013,-3565.4259600000005,3354823.8070586,-36932.236714,224983.16434695545,91,2,0.0,100.0,CASTRO VALLEY,0.0,12.2798828645537,18.3188296128138,,,123005.5,68146.0
CASTROVILLE,206877.143,-1592.659,1643394.88923,-9269.295150000004,122974.92419905926,24,2,0.0,100.0,CASTROVILLE,0.0,31.328699738923397,61.836297137091705,,,66063.0,15986.0
CAYUCOS,18655.46744,-52.85779,101876.11261680002,-310.03631129999997,13042.578515109506,11,2,0.0,100.0,CAYUCOS,0.0,7.28555497728492,7.062681296506501,,,64246.0,2630.0
CAZADERO,352.7480000000001,-8.2834,2716.824,-63.9208,377.10451098764725,4,1,0.0,100.0,CAZADERO,0.0,3.9858529801984304,3.07731113633497,,,70517.5,3983.0
CERRITOS,8785.8,0.0,105429.6,0.0,2267.635220201866,3,1,100.0,100.0,CERRITOS,0.0,25.3530313670432,50.485559339134795,158028704.0,52676234.66666666,106354.0,50143.0
CHALFANT VALLEY,1276.66,-12.573,15319.920000000002,-150.876,2948.2540146492443,4,1,100.0,100.0,,,,,,,,
CHATSWORTH,1377.6,0.0,16531.2,0.0,842.5557075702161,1,1,0.0,100.0,CHATSWORTH,0.0,23.3071981901833,45.8569807037457,,,91544.0,47215.0
CHICO,1541790.9815999994,-1720.531373624,17508478.976800002,-17025.708316165998,1293355.7239177502,4523,5,16.253040242747648,100.0,CHICO,0.0434782608695652,19.496682272326698,37.041241013999205,162340118.0,54113372.66666666,50488.0,109037.0
CHOWCHILLA,461350.7819999998,-390.20399911999993,5196954.479600001,-3879.26719558,198932.87688557472,336,2,7.861166601112743,100.0,CHOWCHILLA,0.666666666666667,45.6300006258988,83.78105687980829,19055065.0,6351688.333333332,73060.0,22300.0
CHUALAR,98910.981,-622.6740000000002,1064718.972,-7472.088000000001,62023.26814244574,3,1,0.0,100.0,CHUALAR,0.0,23.8948188858669,47.383024341026605,,,71844.0,6527.0
CLAREMONT,118775.87750000002,0.0,1425310.5299999998,0.0,49810.317790852816,10,1,66.61051497856921,100.0,CLAREMONT,0.0,26.769188101757003,53.386303443057095,71969579.0,23989859.66666667,91661.0,38213.0
CLAYTON,56473.20302000001,-245.09834161,481983.41606,-1585.2397081,33937.22711075337,74,2,0.0,100.0,CLAYTON,0.0,4.6000208555563304,2.94488586202548,14894867.0,4964955.666666667,139110.5,14078.0
CLEARLAKE,381931.6878,-1718.9025320299993,4219673.747156402,-18988.68160469,224622.9935736608,57,2,6.061488818579599,100.0,CLEARLAKE,0.0,25.692695686016997,51.1287678143524,20483995.0,6827998.333333332,29052.0,11491.0
CLEARLAKE OAKS,48434.09215800001,-680.44902,506520.1799986,-7023.2183994000015,32304.51729680145,8,1,0.0,100.0,CLEARLAKE OAKS,0.0,18.5706027870014,34.487325009459,,,44306.5,7002.0
CLOVERDALE,255002.11828000002,-713.0857492700002,2911958.5448802,-7591.843271600001,115774.55701605756,26,1,0.0,100.0,CLOVERDALE,0.0,19.3375665209529,35.9881447849666,18179773.0,6059924.333333332,68313.0,10009.0
CLOVIS,1719822.479,-1690.458305965,17801171.812479995,-17907.764639724,886236.7007018812,7733,3,11.05423328977326,100.0,CLOVIS,0.14285714285714302,20.9470676226666,40.5662756968092,172798267.0,57599422.33333334,93445.0,133683.0
COALINGA,210288.777,-170.79300278899998,1913133.20238,-1189.738453947,54218.71551400743,591,2,0.0,100.0,COALINGA,0.0,31.8377071428722,62.8326396771346,13146859.0,4382286.333333333,52173.0,18095.0
COARSEGOLD,49681.44299999999,-234.084,642819.8712,-3477.4176,20641.20544102424,7,1,0.0,100.0,COARSEGOLD,0.0,12.0945997602358,18.0855088914113,,,70732.5,12361.0
COLFAX,7543.0,-20.87,86808.5,-194.80900000000003,2838.1853823024408,30,2,0.0,100.0,COLFAX,0.0,8.659617038947541,10.1399924328415,6124843.0,2041614.333333333,69591.0,7188.0
COLMA,236375.16999999995,-659.0699999999998,1745255.7468299998,-5004.846450000001,38771.9931071736,16,1,74.24719736891332,100.0,,,,,,,,
COLUSA,1902.15,-20.636999999999997,19782.36,-214.6248,1631.90978542043,2,1,0.0,100.0,COLUSA,0.0,31.1581098544072,61.628200277462504,9855638.0,3285212.666666666,53136.5,7592.0
CONCORD,1030959.0213670024,-4054.885650539998,8820023.588520791,-38254.918610900066,594691.2615064015,712,1,15.166827780701572,100.0,CONCORD,0.0,17.4930250806522,31.6874763526296,289984000.0,96661333.33333331,87806.0,151412.0
COPPEROPOLIS,1300.0253400000001,-5.23692,13520.263536000002,-54.46396800000001,1478.38055773354,1,1,0.0,100.0,COPPEROPOLIS,0.0,21.7929001313842,42.640938327658,,,82575.0,4694.0
CORCORAN,66692.0,0.0,800304.0,0.0,4473.787690208487,345,1,0.0,100.0,CORCORAN,0.4,38.0419805357329,73.11766931517221,14901061.0,4967020.333333333,36456.0,23331.0
CORNING,115242.68,0.0,1382912.16,0.0,15793.386300896886,443,2,0.0,100.0,CORNING,0.0,31.206325767405602,61.6345062429058,17477041.0,5825680.333333332,46739.0,17805.0
CORONA,2495850.08064,-7.18221504,29892458.80320001,-35.911075200000006,1071545.1166154004,413,1,0.0,100.0,CORONA,0.175,27.600134034913502,55.1141379745239,303874260.0,101291420.0,92458.5,249129.0
CORONA DEL MAR,21522.047376,-2.367336861,246423.38688,-20.466284304000002,19366.071896163226,16,1,31.75633495241025,100.0,CORONA DEL MAR,0.0,4.8532065521564505,2.98902762012864,,,154344.0,9843.0
CORTE MADERA,61005.82086,-327.5011297430001,686255.3857440002,-3516.487310710001,39199.55582615123,59,3,50.51509619142619,100.0,CORTE MADERA,0.0,8.21100984033994,9.049060411148929,62244928.0,20748309.33333333,146381.5,11867.0
COSTA MESA,275678.973804,-33.002750531,3041041.3227840015,-217.66061311400003,148945.5584379258,80,1,52.664219958091685,100.0,COSTA MESA,0.0869565217391304,20.682952954431897,40.068104426787706,355838412.0,118612804.0,86884.0,111330.0
COTATI,271937.380978,-1462.2161777099993,2973171.6603983,-14905.4858342,109152.81199084352,403,2,0.0,100.0,COTATI,0.0,17.4897505767036,31.655946525412997,20660193.0,6886731.0,72985.0,14516.0
COULTERVILLE,6691.725804,-73.33265,67879.94836159999,-720.57556,5142.691900335462,3,1,0.0,100.0,COULTERVILLE,0.0,15.120245796545598,25.375204943876902,,,39719.0,2857.0
CRESSEY,3937.909,-15.076,58429.2496,-219.7864,3363.531992463965,3,1,0.0,100.0,,,,,,,,
CROWLEY LAKE,1129.5,0.0,13554.0,0.0,2745.62922767516,1,1,100.0,100.0,,,,,,,,
CULVER CITY,432360.58080000005,-220.47617202400002,3299000.6214000005,-1243.737262998,740226.9070921891,38,1,42.58739522775478,100.0,CULVER CITY,0.0,30.832039325170697,61.0165216294615,271554477.0,90518159.0,85544.5,41077.0
CUPERTINO,484013.78,-925.5338477759996,3682651.9929200006,-6865.912138829999,247370.60908834505,372,2,3.75240683924704,100.0,CUPERTINO,0.0,10.7546115653419,14.6992054483542,196447606.0,65482535.33333334,170610.0,61929.0
CUTTEN,84789.0,0.0,1017468.0,0.0,5631.594411100092,433,1,0.0,100.0,,,,,,,,
DALY CITY,716892.7037999956,-3760.39246,7729328.142960036,-38558.51471,524365.790129288,1368,2,66.72300116468092,100.0,DALY CITY,0.0,21.235190217223497,41.3229915500064,200748571.0,66916190.33333334,97461.5,114485.0
DANVILLE,222325.986202,-287.87186,2063115.223244,-2698.4601905,113364.032162439,509,3,0.0,100.0,DANVILLE,0.0,3.2393077059871103,1.16660360701223,72565325.0,24188441.66666667,169094.5,49140.0
DAVIS,351784.3874000001,-353.21353999999997,4043706.6552,-3887.7706799999996,189874.1432320313,54,3,10.688532435063085,100.0,DAVIS,0.0,12.5623419259485,19.132299155000602,158861658.0,52953886.0,70469.0,71684.0
DEL REY,37284.881,0.0,243368.5022,0.0,19428.7166482552,9,1,0.0,100.0,DEL REY,1.0,55.808025838708204,93.74448228023711,,,40573.0,3293.0
DELHI,12495.0,0.0,149940.0,0.0,44447.83480405271,130,1,95.55306461920955,100.0,DELHI,0.5,40.490757088899,76.6931517215286,,,54413.0,12422.0
DIAMOND SPRINGS,21732.776820000006,-156.53430142,176302.03899600005,-1185.5404511,17294.148918036135,5,1,0.0,100.0,,,,,,,,
DILLON BEACH,559.472,-13.2788,7487.980000000001,-178.15400000000002,855.0595343054033,5,1,0.0,100.0,,,,,,,,
DINUBA,190540.0,0.0,2286480.0,0.0,127050.24356852336,1203,1,18.83783575655345,100.0,DINUBA,0.8,48.30342821568979,87.03493504855591,50721038.0,16907012.666666668,54744.0,32347.0
DISCOVERY BAY,4923.4,-46.904,59080.8,-562.8480000000001,6226.4492718654465,4,1,0.0,100.0,DISCOVERY BAY,0.0,16.9366727118517,30.192962542565304,,,121688.0,9370.0
DIXON,587500.8374800005,-1336.4785181000004,6423303.007947996,-8843.383649300004,333415.9586610701,1093,4,0.0,100.0,DIXON,0.0,23.1419144534122,45.4660108462606,55726851.0,18575617.0,87639.0,27647.0
DOS PALOS,121536.86,-294.8703000000001,1543559.52,-4717.924800000002,231156.53943895327,630,3,88.6407485663963,100.0,DOS PALOS,1.0,51.840162947234106,90.5095220078194,4536757.0,1512252.333333333,40040.5,9043.0
DOWNEY,1639051.6406319996,-31.918327986999998,12896970.629160002,-159.59163994199997,748363.9731352172,95,1,34.93263970702405,100.0,DOWNEY,0.272727272727273,34.4554172522091,67.4359944507504,220835936.0,73611978.66666667,74231.0,112322.0
DOWNIEVILLE,18.5,-0.106,162.8,-0.9328,903.9732104590882,2,1,0.0,100.0,,,,,,,,
DUBLIN,282452.39300000004,-438.0994000000002,3127916.0000000005,-5831.8052000000025,208330.78619214726,299,2,12.646947173708096,100.0,DUBLIN,0.0,12.980596783884499,19.9772985244041,283718026.0,94572675.33333331,124338.0,37942.0
DURHAM,185.0,0.0,2220.0,0.0,13.932213076409099,1,1,0.0,100.0,DURHAM,0.0,17.6688896707395,32.336990793290504,,,84811.0,5834.0
EAST PALO ALTO,0.0,0.0,0.0,0.0,1763.1599855999998,1,1,0.0,100.0,,,,,,,,
EL CERRITO,401832.2498449999,-700.49489,4427479.63409,-9872.382056000004,183162.57684395934,1346,1,0.0,100.0,EL CERRITO,0.0,11.3661559174352,15.903644848026198,68530224.0,22843408.0,107813.0,30762.0
EL DORADO HILLS,13795.7,-24.6,165548.4,-295.2,6773.0870623650135,36,2,37.92175978195998,100.0,EL DORADO HILLS,0.0,4.26299321308504,2.25122966326145,,,146439.5,33927.0
EL MONTE,119920.02295299999,-178.22174522100002,696330.716456,-1035.6375139600002,121529.545196707,40,1,0.0,100.0,EL MONTE,1.0,53.5752122517222,92.07970740320341,219130286.0,73043428.66666667,52436.0,98427.0
EL PORTAL,0.0,0.0,0.0,0.0,39560.91981562808,6,1,0.0,100.0,,,,,,,,
EL SEGUNDO,17577.903168,-11.789317814,87889.51584000001,-58.946589071999995,48444.04814812829,4,1,0.0,100.0,EL SEGUNDO,0.166666666666667,15.566122555675301,26.567032412662396,194778081.0,64926027.0,109929.0,16731.0
EL SOBRANTE,251044.48888122,-2394.44569,3049690.966570998,-30108.768084299994,192640.95672882567,121,2,22.08181958873331,100.0,EL SOBRANTE,0.0,15.697904540208098,27.1850170261067,,,85388.5,21101.0
EL TORO,3214.4,0.0,38572.8,0.0,1124.84360827542,1,1,0.0,100.0,,,,,,,,
ELMIRA,133.78600000000003,-3.1351,677.0039999999999,-15.8548,87.2698175576482,2,1,0.0,100.0,,,,,,,,
EMERYVILLE,349156.84919789986,-843.3710799999999,3993190.0817548,-11097.9661276,230760.68839503225,799,2,3.6382752159181946,100.0,EMERYVILLE,0.4,35.6832388829894,69.5863286669189,134910892.0,44970297.333333336,79679.0,37271.0
ESCALON,24555.36,-46.56,308104.32,-744.96,13850.468435570847,3,1,0.0,100.0,ESCALON,0.5,35.979406520556296,69.3719258418464,10279976.0,3426658.666666666,69036.0,13379.0
ESPARTO,0.0,0.0,0.0,0.0,1264.46001339,1,1,0.0,100.0,,,,,,,,
EUREKA,1900805.269083002,-20811.014527417,16315822.289294396,-171177.84297163002,1633526.7412309188,2795,3,3.504065615941568,100.0,EUREKA,0.0,15.294096316976301,25.9175179720016,78488452.0,26162817.33333333,52197.5,49398.0
