census_tract,zip_code,city,county
6037542106,90221,Compton,Los Angeles
6037123203,91605,North Hollywood,Los Angeles
6037192700,90004,Los Angeles,Los Angeles
6037239201,90003,Los Angeles,Los Angeles
6037532700,90001,Los Angeles,Los Angeles
6037232120,90037,Los Angeles,Los Angeles
6037571701,90805,Long Beach,Los Angeles
6037218500,90016,Los Angeles,Los Angeles
6071007604,92374,Redlands,San Bernardino
6037541605,90221,Compton,Los Angeles
6037204810,90023,Los Angeles,Los Angeles
6019002701,93702,Fresno,Fresno 
6037531504,90022,Los Angeles,Los Angeles
6037502301,90606,Whittier,Los Angeles
6099002004,95354,Modesto,Stanislaus 
6071004800,92411,San Bernardino,San Bernardino
6037224020,90007,Los Angeles,Los Angeles
6037535002,90001,Los Angeles,Los Angeles
6037228720,90011,Los Angeles,Los Angeles
6037541606,90221,Compton,Los Angeles
6037503000,90605,Whittier,Los Angeles
6037536000,90280,South Gate,Los Angeles
6037208302,90026,Los Angeles,Los Angeles
6025011400,92243,El Centro,Imperial 
6037603001,90247,Gardena,Los Angeles
6037602900,90249,Gardena,Los Angeles
6059086407,92806,Anaheim,Orange 
6077005131,95336,Manteca,San Joaquin
6099003804,95380,Turlock,Stanislaus 
6037541700,90262,Lynwood,Los Angeles
6037219300,90018,Los Angeles,Los Angeles
6037190801,90028,Los Angeles,Los Angeles
6037206010,90012,Los Angeles,Los Angeles
6037104320,91331,Pacoima,Los Angeles
6037408301,91746,La Puente,Los Angeles
6037190510,90028,Los Angeles,Los Angeles
6037402903,91766,Pomona,Los Angeles
6037128303,91411,Van Nuys,Los Angeles
6029000400,93308,Bakersfield,Kern 
6099002005,95354,Modesto,Stanislaus 
6037402406,91768,Pomona,Los Angeles
6037533603,90201,Bell,Los Angeles
6107003400,93257,Porterville,Tulare 
6111009100,93030,Oxnard,Ventura 
6019002602,93702,Fresno,Fresno 
6071006601,92324,Colton,San Bernardino
6037243000,90002,Los Angeles,Los Angeles
6037228710,90011,Los Angeles,Los Angeles
6099002604,95307,Ceres,Stanislaus 
6037433101,91731,El Monte,Los Angeles
6029004800,93215,Delano,Kern 
6037603102,90247,Gardena,Los Angeles
6037533602,90201,Bell,Los Angeles
6037502902,90670,Santa Fe Springs,Los Angeles
6071004103,92407,San Bernardino,San Bernardino
6071000301,91763,Montclair,San Bernardino
6071003301,92335,Fontana,San Bernardino
6019003809,93722,Fresno,Fresno 
6037542200,90221,Compton,Los Angeles
6037502302,90606,Whittier,Los Angeles
6039000502,93637,Madera,Madera 
6019008302,93640,Mendota,Fresno 
6037240900,90059,Los Angeles,Los Angeles
6037294120,90744,Wilmington,Los Angeles
6037241002,90059,Los Angeles,Los Angeles
6099002401,95358,Modesto,Stanislaus 
6037241202,90044,Los Angeles,Los Angeles
6037123020,91352,Sun Valley,Los Angeles
6037120300,91402,Panorama City,Los Angeles
6071004201,92411,San Bernardino,San Bernardino
6037207102,90012,Los Angeles,Los Angeles
6037535604,90280,South Gate,Los Angeles
6071006500,92410,San Bernardino,San Bernardino
6037533105,90255,Huntington Park,Los Angeles
6067005205,95826,Sacramento,Sacramento 
6037120020,91402,Panorama City,Los Angeles
6099003100,95358,Modesto,Stanislaus 
6037402402,91766,Pomona,Los Angeles
6037532001,90640,Montebello,Los Angeles
6037405001,91706,Baldwin Park,Los Angeles
6037533805,90201,Bell,Los Angeles
6037534203,90201,Bell,Los Angeles
6047001301,95340,Merced,Merced 
6037534803,90255,Huntington Park,Los Angeles
6065042904,92570,Perris,Riverside 
6037532606,90255,Huntington Park,Los Angeles
6037533601,90201,Bell,Los Angeles
6037123205,91605,North Hollywood,Los Angeles
6037209103,90017,Los Angeles,Los Angeles
6013379000,94804,Richmond,Contra Costa
6037291300,90248,Gardena,Los Angeles
6037121900,91352,Sun Valley,Los Angeles
6037540600,90059,Los Angeles,Los Angeles
6107002901,93274,Tulare,Tulare 
6037186401,90065,Los Angeles,Los Angeles
6037533103,90255,Huntington Park,Los Angeles
6037432802,91731,El Monte,Los Angeles
6013312000,94565,Pittsburg,Contra Costa
6037191000,90028,Los Angeles,Los Angeles
6071000904,91786,Upland,San Bernardino
6037226700,90011,Los Angeles,Los Angeles
6065040101,92509,Riverside,Riverside 
6099001900,95354,Modesto,Stanislaus 
6037226410,90011,Los Angeles,Los Angeles
6037226420,90011,Los Angeles,Los Angeles
6037533202,90255,Huntington Park,Los Angeles
6077001800,95205,Stockton,San Joaquin
6065041600,92879,Corona,Riverside 
6067002200,95818,Sacramento,Sacramento 
6037240600,90003,Los Angeles,Los Angeles
6037123303,91605,North Hollywood,Los Angeles
6099002002,95357,Modesto,Stanislaus 
6037540902,90061,Los Angeles,Los Angeles
6037541200,90222,Compton,Los Angeles
6019004205,93722,Fresno,Fresno 
6037402301,91768,Pomona,Los Angeles
6037241400,90061,Los Angeles,Los Angeles
6071001503,91764,Ontario,San Bernardino
6037603302,90247,Gardena,Los Angeles
6037127605,91406,Van Nuys,Los Angeles
6037432700,91731,El Monte,Los Angeles
6037433902,91732,El Monte,Los Angeles
6037553602,90723,Paramount,Los Angeles
6037218400,90016,Los Angeles,Los Angeles
6037433501,91733,South El Monte,Los Angeles
6037228600,90011,Los Angeles,Los Angeles
6037570602,90805,Long Beach,Los Angeles
6037543201,90220,Compton,Los Angeles
6019001407,93727,Fresno,Fresno 
6037531902,90022,Los Angeles,Los Angeles
6037232700,90037,Los Angeles,Los Angeles
6037291120,90248,Gardena,Los Angeles
6037531702,90022,Los Angeles,Los Angeles
6037542104,90221,Compton,Los Angeles
6077003803,95231,French Camp,San Joaquin
6065041203,92503,Riverside,Riverside 
6037121802,91605,North Hollywood,Los Angeles
6037434004,91733,South El Monte,Los Angeles
6037185203,90065,Los Angeles,Los Angeles
6037532500,90255,Huntington Park,Los Angeles
6037407002,91746,La Puente,Los Angeles
6037239802,90001,Los Angeles,Los Angeles
6037228210,90011,Los Angeles,Los Angeles
6047001302,95340,Merced,Merced 
6037575402,90813,Long Beach,Los Angeles
6037231710,90037,Los Angeles,Los Angeles
6065042010,92570,Perris,Riverside 
6037405102,91706,Baldwin Park,Los Angeles
6037203600,90033,Los Angeles,Los Angeles
6037570204,90805,Long Beach,Los Angeles
6065040201,92509,Riverside,Riverside 
6037104822,91331,Pacoima,Los Angeles
6077005127,95330,Lathrop,San Joaquin
6037124104,91606,North Hollywood,Los Angeles
6037302503,91205,Glendale,Los Angeles
6059110500,90620,Buena Park,Orange 
6071002401,92335,Fontana,San Bernardino
6037408401,91745,Hacienda Heights,Los Angeles
6019003807,93722,Fresno,Fresno 
6071004604,92405,San Bernardino,San Bernardino
6065041101,92503,Riverside,Riverside 
6019006900,93616,Del Rey,Fresno 
6037310501,91504,Burbank,Los Angeles
6037237101,90044,Los Angeles,Los Angeles
6071000303,91763,Montclair,San Bernardino
6077005110,95336,Manteca,San Joaquin
6037204410,90033,Los Angeles,Los Angeles
6077005122,95330,Lathrop,San Joaquin
6059011601,92832,Fullerton,Orange 
6037534406,90201,Bell,Los Angeles
6037237300,90047,Los Angeles,Los Angeles
6037207301,90013,Los Angeles,Los Angeles
6037531901,90022,Los Angeles,Los Angeles
6037192620,90004,Los Angeles,Los Angeles
6077001700,95205,Stockton,San Joaquin
6071005300,92405,San Bernardino,San Bernardino
6037199201,90031,Los Angeles,Los Angeles
6037433504,91733,South El Monte,Los Angeles
6019006201,93657,Sanger,Fresno 
6037531101,90063,Los Angeles,Los Angeles
6037602105,90250,Hawthorne,Los Angeles
6071001001,91762,Ontario,San Bernardino
6001409200,94603,Oakland,Alameda 
6037572900,90810,Long Beach,Los Angeles
6037208402,90026,Los Angeles,Los Angeles
6019002100,93728,Fresno,Fresno 
6037132102,91406,Van Nuys,Los Angeles
6037402902,91766,Pomona,Los Angeles
6019001900,93706,Fresno,Fresno 
6077002100,95205,Stockton,San Joaquin
6047000201,95303,Ballico,Merced 
6047002100,93635,Los Banos,Merced 
6037127102,91405,Van Nuys,Los Angeles
6113010203,95691,West Sacramento,Yolo 
6037532605,90255,Huntington Park,Los Angeles
6037232400,90062,Los Angeles,Los Angeles
6071001809,91761,Ontario,San Bernardino
6077005129,95330,Lathrop,San Joaquin
6019002300,93728,Fresno,Fresno 
6037408139,91744,La Puente,Los Angeles
6047000902,95341,Merced,Merced 
6037187200,90039,Los Angeles,Los Angeles
6037209200,90017,Los Angeles,Los Angeles
6067004502,95823,Sacramento,Sacramento 
6065042507,92551,Moreno Valley,Riverside 
6071007107,92313,Grand Terrace,San Bernardino
6037302002,91206,Glendale,Los Angeles
6037535901,90280,South Gate,Los Angeles
6037575101,90804,Long Beach,Los Angeles
6037228220,90011,Los Angeles,Los Angeles
6037536200,90280,South Gate,Los Angeles
6037121010,91352,Sun Valley,Los Angeles
6037221401,90018,Los Angeles,Los Angeles
6077002800,95206,Stockton,San Joaquin
6037601700,90304,Inglewood,Los Angeles
6047001502,95341,Merced,Merced 
6071004700,92411,San Bernardino,San Bernardino
6019004701,93705,Fresno,Fresno 
6037204420,90033,Los Angeles,Los Angeles
6037123410,91605,North Hollywood,Los Angeles
6037294810,90744,Wilmington,Los Angeles
6037433700,91733,South El Monte,Los Angeles
6037552400,90650,Norwalk,Los Angeles
6037121210,91331,Pacoima,Los Angeles
6047001602,95341,Merced,Merced 
6037302301,91204,Glendale,Los Angeles
6071001104,91762,Ontario,San Bernardino
6039000900,93638,Madera,Madera 
6037540300,90262,Lynwood,Los Angeles
6037404600,91706,Baldwin Park,Los Angeles
6077002503,95206,Stockton,San Joaquin
6071009400,92311,Barstow,San Bernardino
6037602802,90044,Los Angeles,Los Angeles
6037533501,90255,Huntington Park,Los Angeles
6029001600,93301,Bakersfield,Kern 
6037575300,90813,Long Beach,Los Angeles
6059089003,92843,Garden Grove,Orange 
6037190520,90027,Los Angeles,Los Angeles
6019002501,93703,Fresno,Fresno 
6037242000,90002,Los Angeles,Los Angeles
6071001308,91764,Ontario,San Bernardino
6071004101,92407,San Bernardino,San Bernardino
6037296220,90731,San Pedro,Los Angeles
6037602700,90250,Hawthorne,Los Angeles
6037294820,90744,Wilmington,Los Angeles
6037531102,90063,Los Angeles,Los Angeles
6071001101,91762,Ontario,San Bernardino
6037228420,90011,Los Angeles,Los Angeles
6037127210,91405,Van Nuys,Los Angeles
6037531503,90063,Los Angeles,Los Angeles
6099001603,95351,Modesto,Stanislaus 
6037195720,90026,Los Angeles,Los Angeles
6107000501,93618,Dinuba,Tulare 
6037603005,90247,Gardena,Los Angeles
6037201402,90032,Los Angeles,Los Angeles
6065041001,92503,Riverside,Riverside 
6019008301,93640,Mendota,Fresno 
6037190802,90028,Los Angeles,Los Angeles
6071004202,92411,San Bernardino,San Bernardino
6037540502,90262,Lynwood,Los Angeles
6037570404,90805,Long Beach,Los Angeles
6037236100,90008,Los Angeles,Los Angeles
6037407701,91744,La Puente,Los Angeles
6013365002,94801,Richmond,Contra Costa
6037531502,90022,Los Angeles,Los Angeles
6037433304,91732,El Monte,Los Angeles
6077002202,95206,Stockton,San Joaquin
6071006401,92410,San Bernardino,San Bernardino
6037291110,90044,Los Angeles,Los Angeles
6037434003,91732,El Monte,Los Angeles
6037206031,90021,Los Angeles,Los Angeles
6037533300,90270,Maywood,Los Angeles
6037240700,90002,Los Angeles,Los Angeles
6037199900,90031,Los Angeles,Los Angeles
6037535702,90280,South Gate,Los Angeles
6099002702,95351,Modesto,Stanislaus 
6067006900,95815,Sacramento,Sacramento 
6037575803,90813,Long Beach,Los Angeles
6037123301,91605,North Hollywood,Los Angeles
6037302504,91205,Glendale,Los Angeles
6085503105,95122,San Jose,Santa Clara
6037533703,90270,Maywood,Los Angeles
6037209402,90057,Los Angeles,Los Angeles
6037502802,90670,Santa Fe Springs,Los Angeles
6037228310,90011,Los Angeles,Los Angeles
6037296600,90731,San Pedro,Los Angeles
6037231400,90062,Los Angeles,Los Angeles
6037402102,91767,Pomona,Los Angeles
6013377000,94801,Richmond,Contra Costa
6037570501,90805,Long Beach,Los Angeles
6037402101,91767,Pomona,Los Angeles
6037311801,91502,Burbank,Los Angeles
6037195710,90026,Los Angeles,Los Angeles
6037433305,91732,El Monte,Los Angeles
6037603704,90250,Hawthorne,Los Angeles
6037602508,90250,Hawthorne,Los Angeles
6037534001,90201,Bell,Los Angeles
6037241300,90044,Los Angeles,Los Angeles
6037573300,90806,Long Beach,Los Angeles
6071009117,92301,Adelanto,San Bernardino
6037121801,91605,North Hollywood,Los Angeles
6099000602,95351,Modesto,Stanislaus 
6037232110,90037,Los Angeles,Los Angeles
6047002401,93620,Dos Palos,Merced 
6099000510,95358,Modesto,Stanislaus 
6037570603,90805,Long Beach,Los Angeles
6065046500,92521,Riverside,Riverside 
6037302202,91205,Glendale,Los Angeles
6037404801,91706,Baldwin Park,Los Angeles
6037551800,90242,Downey,Los Angeles
6037224420,90007,Los Angeles,Los Angeles
6037535102,90002,Los Angeles,Los Angeles
6037502004,90602,Whittier,Los Angeles
6037231100,90007,Los Angeles,Los Angeles
6037197500,90026,Los Angeles,Los Angeles
6065042902,92570,Perris,Riverside 
6037533701,90270,Maywood,Los Angeles
6037576301,90813,Long Beach,Los Angeles
6019002905,93727,Fresno,Fresno 
6037218210,90019,Los Angeles,Los Angeles
6029001902,93304,Bakersfield,Kern 
6037204200,90033,Los Angeles,Los Angeles
6037237201,90044,Los Angeles,Los Angeles
6037530602,90063,Los Angeles,Los Angeles
6037502100,90606,Whittier,Los Angeles
6037533402,90270,Maywood,Los Angeles
6037405101,91706,Baldwin Park,Los Angeles
6037301502,91201,Glendale,Los Angeles
6025012200,92231,Calexico,Imperial 
6071002402,92335,Fontana,San Bernardino
6037219010,90018,Los Angeles,Los Angeles
6029004402,93280,Wasco,Kern 
6065042901,92570,Perris,Riverside 
6037576302,90813,Long Beach,Los Angeles
6037552302,90650,Norwalk,Los Angeles
6037542000,90221,Compton,Los Angeles
6037207103,90012,Los Angeles,Los Angeles
6037231500,90062,Los Angeles,Los Angeles
6037575901,90802,Long Beach,Los Angeles
6037190901,90038,Los Angeles,Los Angeles
6099003803,95380,Turlock,Stanislaus 
6037121101,91352,Sun Valley,Los Angeles
6059086802,92801,Anaheim,Orange 
6037191620,90029,Los Angeles,Los Angeles
6037124204,91601,North Hollywood,Los Angeles
6037228500,90011,Los Angeles,Los Angeles
6037533702,90270,Maywood,Los Angeles
6037231600,90037,Los Angeles,Los Angeles
6037201700,90032,Los Angeles,Los Angeles
6047001601,95341,Merced,Merced 
6019006602,93654,Reedley,Fresno 
6071001812,91761,Ontario,San Bernardino
6037211122,90004,Los Angeles,Los Angeles
6037407200,91744,La Puente,Los Angeles
6029003000,93304,Bakersfield,Kern 
6037543306,90745,Carson,Los Angeles
6037211320,90004,Los Angeles,Los Angeles
6037218300,90019,Los Angeles,Los Angeles
6037301701,91202,Glendale,Los Angeles
6107004200,93256,Pixley,Tulare 
6037600502,90303,Inglewood,Los Angeles
6099000805,95350,Modesto,Stanislaus 
6107000302,93631,Kingsburg,Tulare 
6037531000,90063,Los Angeles,Los Angeles
6059087405,92805,Anaheim,Orange 
6037296500,90731,San Pedro,Los Angeles
6001407300,94601,Oakland,Alameda 
6037432601,91732,El Monte,Los Angeles
6059001202,90631,La Habra,Orange 
6077000402,95202,Stockton,San Joaquin
6037534501,90255,Huntington Park,Los Angeles
6067004501,95824,Sacramento,Sacramento 
6037540203,90262,Lynwood,Los Angeles
6059074003,92707,Santa Ana,Orange 
6037533403,90270,Maywood,Los Angeles
6037199400,90031,Los Angeles,Los Angeles
6037433200,91731,El Monte,Los Angeles
6037542900,90220,Compton,Los Angeles
6067005002,95823,Sacramento,Sacramento 
6037402405,91768,Pomona,Los Angeles
6037541300,90222,Compton,Los Angeles
6037573003,90806,Long Beach,Los Angeles
6037228410,90011,Los Angeles,Los Angeles
6071001307,91764,Ontario,San Bernardino
6059086502,92801,Anaheim,Orange 
6019005202,93726,Fresno,Fresno 
6037535607,90280,South Gate,Los Angeles
6047002000,95322,Gustine,Merced 
6071004302,92411,San Bernardino,San Bernardino
6037191720,90038,Los Angeles,Los Angeles
6037186403,90065,Los Angeles,Los Angeles
6037132101,91406,Van Nuys,Los Angeles
6037540501,90262,Lynwood,Los Angeles
6065045303,92201,Indio,Riverside 
6067007301,95652,McClellan,Sacramento 
6037240800,90002,Los Angeles,Los Angeles
6065042620,92571,Perris,Riverside 
6037222002,90018,Los Angeles,Los Angeles
6037204300,90033,Los Angeles,Los Angeles
6067004702,95823,Sacramento,Sacramento 
6037209102,90017,Los Angeles,Los Angeles
6037124201,91606,North Hollywood,Los Angeles
6037301702,91203,Glendale,Los Angeles
6037191201,90027,Los Angeles,Los Angeles
6037199800,90031,Los Angeles,Los Angeles
6037240010,90002,Los Angeles,Los Angeles
6025011500,92243,El Centro,Imperial 
6037533804,90201,Bell,Los Angeles
6037543903,90745,Carson,Los Angeles
6037433306,91732,El Monte,Los Angeles
6037602103,90250,Hawthorne,Los Angeles
6071000201,91763,Montclair,San Bernardino
6037197700,90012,Los Angeles,Los Angeles
6037553902,90723,Paramount,Los Angeles
6037310703,91502,Burbank,Los Angeles
6037240020,90002,Los Angeles,Los Angeles
6037502700,90670,Santa Fe Springs,Los Angeles
6019002903,93727,Fresno,Fresno 
6037219020,90018,Los Angeles,Los Angeles
6065041704,92882,Corona,Riverside 
6037125320,91601,North Hollywood,Los Angeles
6037602104,90250,Hawthorne,Los Angeles
6019003003,93727,Fresno,Fresno 
6067006400,95838,Sacramento,Sacramento 
6075023103,94124,San Francisco,San Francisco
6037540102,90262,Lynwood,Los Angeles
6037573202,90806,Long Beach,Los Angeles
6037575201,90813,Long Beach,Los Angeles
6037554301,90706,Bellflower,Los Angeles
6037231900,90037,Los Angeles,Los Angeles
6037532604,90255,Huntington Park,Los Angeles
6037127920,91405,Van Nuys,Los Angeles
6037553504,90723,Paramount,Los Angeles
6037533201,90255,Huntington Park,Los Angeles
6001409500,94621,Oakland,Alameda 
6071000825,91786,Upland,San Bernardino
6019006501,93654,Reedley,Fresno 
6073003603,92113,San Diego,San Diego
6037127103,91405,Van Nuys,Los Angeles
6071006301,92404,San Bernardino,San Bernardino
6037502200,90606,Whittier,Los Angeles
6037120030,91402,Panorama City,Los Angeles
6019001600,93625,Fowler,Fresno 
6071001310,91764,Ontario,San Bernardino
6037240402,90044,Los Angeles,Los Angeles
6019007004,93662,Selma,Fresno 
6037224600,90007,Los Angeles,Los Angeles
6037575902,90802,Long Beach,Los Angeles
6071009500,92311,Barstow,San Bernardino
6065048800,92551,Moreno Valley,Riverside 
6071007603,92346,Highland,San Bernardino
6037191120,90029,Los Angeles,Los Angeles
6113010102,95837,Sacramento,Yolo 
6065031601,92503,Riverside,Riverside 
6037125310,91601,North Hollywood,Los Angeles
6107004102,93257,Porterville,Tulare 
6047000505,95301,Atwater,Merced 
6037542103,90221,Compton,Los Angeles
6037240300,90044,Los Angeles,Los Angeles
6071000203,91763,Montclair,San Bernardino
6037218120,90019,Los Angeles,Los Angeles
6037220000,90016,Los Angeles,Los Angeles
6037482402,91770,Rosemead,Los Angeles
6037104810,91331,Pacoima,Los Angeles
6077000500,95205,Stockton,San Joaquin
6037201501,90032,Los Angeles,Los Angeles
6065040501,92509,Riverside,Riverside 
6067007413,95821,Sacramento,Sacramento 
6099002504,95307,Ceres,Stanislaus 
6019003202,93703,Fresno,Fresno 
6071007305,92354,Loma Linda,San Bernardino
6037224200,90015,Los Angeles,Los Angeles
6037228320,90011,Los Angeles,Los Angeles
6107000900,93291,Visalia,Tulare 
6037573002,90806,Long Beach,Los Angeles
6037294610,90744,Wilmington,Los Angeles
6037311802,91502,Burbank,Los Angeles
6067001101,95814,Sacramento,Sacramento 
6075980600,94124,San Francisco,San Francisco
6029004102,93263,Shafter,Kern 
6037402904,91766,Pomona,Los Angeles
6039000201,93610,Chowchilla,Madera 
6037128400,91411,Van Nuys,Los Angeles
6073004000,92102,San Diego,San Diego
6059001304,90631,La Habra,Orange 
6037531701,90022,Los Angeles,Los Angeles
6037542105,90221,Compton,Los Angeles
6037408501,91745,Hacienda Heights,Los Angeles
6019003701,93705,Fresno,Fresno 
6077005109,95336,Manteca,San Joaquin
6037600303,90044,Los Angeles,Los Angeles
6037210010,90015,Los Angeles,Los Angeles
6037232800,90037,Los Angeles,Los Angeles
6037601501,90304,Inglewood,Los Angeles
6037122120,91352,Sun Valley,Los Angeles
6085512602,95020,Gilroy,Santa Clara
6019001411,93727,Fresno,Fresno 
6099002503,95307,Ceres,Stanislaus 
6037192610,90004,Los Angeles,Los Angeles
6037433401,91733,South El Monte,Los Angeles
6037600304,90044,Los Angeles,Los Angeles
6065042300,92507,Riverside,Riverside 
6037601402,90301,Inglewood,Los Angeles
6037575102,90804,Long Beach,Los Angeles
6065042510,92553,Moreno Valley,Riverside 
6111002905,93030,Oxnard,Ventura 
6037191500,90029,Los Angeles,Los Angeles
6099000301,95367,Riverbank,Stanislaus 
6047002302,93635,Los Banos,Merced 
6037123103,91606,North Hollywood,Los Angeles
6037405201,91706,Baldwin Park,Los Angeles
6037232200,90037,Los Angeles,Los Angeles
6107004300,93219,Earlimart,Tulare 
6037408630,91745,Hacienda Heights,Los Angeles
6067000600,95814,Sacramento,Sacramento 
6065040502,92509,Riverside,Riverside 
6037123510,91405,Van Nuys,Los Angeles
6037553502,90723,Paramount,Los Angeles
6037530101,90640,Montebello,Los Angeles
6067005001,95828,Sacramento,Sacramento 
6037532002,90640,Montebello,Los Angeles
